L,auc_hapax,auc_lambda_G,auc_sqrt,cllr_hapax,cllr_lambda_G,cllr_sqrt,cllrmin_hapax,cllrmin_lambda_G,cllrmin_sqrt,dataset,engine,n,secs,seg
300,0.7491,0.7521,0.7521,1.4348,8.0114,0.8967,0.7992,0.7968,0.7968,polish_dracor,kn,368,16,w10
150,0.7021,0.7075,0.7075,1.685,6.7606,1.0498,0.8796,0.8714,0.8714,polish_dracor,kn,368,11,w10
0,0.9325,0.9339,0.9339,0.9962,12.8969,0.511,0.4177,0.4159,0.4148,polish_dracor,kn,368,168,w20
1200,0.8779,0.8792,0.8792,1.2741,15.5011,0.6894,0.5781,0.5639,0.5639,polish_dracor,kn,368,41,w20
600,0.8469,0.85,0.85,1.1375,8.7985,0.7271,0.6562,0.6547,0.6547,polish_dracor,kn,368,24,w20
300,0.7522,0.7553,0.7553,1.3807,7.812,0.8812,0.8017,0.7933,0.7933,polish_dracor,kn,368,15,w20
150,0.6887,0.6949,0.6949,1.6405,6.6673,1.0341,0.893,0.8884,0.8884,polish_dracor,kn,368,11,w20
0,0.9369,0.9387,0.9386,0.9564,12.3267,0.4919,0.4005,0.3948,0.3959,polish_dracor,kn,368,164,w30
1200,0.8775,0.8777,0.8777,1.195,14.4704,0.6751,0.5678,0.5657,0.5669,polish_dracor,kn,368,40,w30
600,0.8421,0.8434,0.8434,1.1343,8.9299,0.7292,0.6708,0.6584,0.6584,polish_dracor,kn,368,23,w30
300,0.7492,0.752,0.752,1.3755,7.6677,0.8834,0.7971,0.7926,0.7926,polish_dracor,kn,368,15,w30
150,0.693,0.6993,0.6993,1.6961,6.8156,1.05,0.8828,0.8749,0.8749,polish_dracor,kn,368,11,w30
0,0.9944,0.9945,0.9946,0.1781,2.0851,0.1764,0.1142,0.1132,0.1123,portuguese_poetree,kn,1004,438,w10
1200,0.9801,0.9808,0.9809,0.3001,3.3925,0.2899,0.2385,0.2362,0.2356,portuguese_poetree,kn,1004,121,w10
600,0.9131,0.9153,0.9153,0.619,5.0515,0.5324,0.5105,0.5056,0.5056,portuguese_poetree,kn,1004,68,w10
300,0.7839,0.7864,0.7864,1.1535,7.3605,0.8263,0.7849,0.7804,0.7804,portuguese_poetree,kn,1004,42,w10
150,0.5607,0.5701,0.5701,1.8358,8.7468,1.1794,0.9681,0.9578,0.9578,portuguese_poetree,kn,1004,30,w10
0,0.9941,0.9943,0.9944,0.1788,2.0543,0.1742,0.1189,0.115,0.1144,portuguese_poetree,kn,1004,412,w20
1200,0.9819,0.9824,0.9825,0.3055,3.5095,0.2921,0.2216,0.2219,0.2217,portuguese_poetree,kn,1004,112,w20
600,0.9091,0.9107,0.9107,0.6353,5.1621,0.5452,0.5244,0.5182,0.5182,portuguese_poetree,kn,1004,64,w20
300,0.7696,0.7729,0.7729,1.2064,7.6877,0.853,0.8003,0.7968,0.7968,portuguese_poetree,kn,1004,40,w20
150,0.578,0.5846,0.5846,1.6883,7.9378,1.1282,0.9646,0.9513,0.9513,portuguese_poetree,kn,1004,29,w20
0,0.9941,0.9942,0.9943,0.1887,2.2161,0.1786,0.1161,0.1126,0.1123,portuguese_poetree,kn,1004,397,w30
1200,0.9815,0.9823,0.9823,0.318,3.7768,0.291,0.2274,0.226,0.2258,portuguese_poetree,kn,1004,108,w30
600,0.9131,0.9148,0.9148,0.6187,4.9206,0.54,0.5079,0.5066,0.5066,portuguese_poetree,kn,1004,63,w30
300,0.7802,0.783,0.783,1.142,7.1822,0.8272,0.7888,0.7842,0.7842,portuguese_poetree,kn,1004,39,w30
150,0.5886,0.5964,0.5964,1.6425,7.5863,1.104,0.957,0.9393,0.9393,portuguese_poetree,kn,1004,29,w30
0,0.8146,0.8099,0.8126,5.7047,95.7699,2.6591,0.6912,0.6869,0.6861,romanian_dracor,kn,894,454,w10
1200,0.7967,0.7986,0.7986,3.5862,53.7443,1.6854,0.7465,0.7375,0.7375,romanian_dracor,kn,894,109,w10
600,0.793,0.7992,0.7992,2.2893,21.2255,1.0995,0.7621,0.7521,0.7521,romanian_dracor,kn,894,62,w10
300,0.7335,0.7418,0.7418,1.8559,10.9991,0.9894,0.8494,0.8364,0.8364,romanian_dracor,kn,894,39,w10
150,0.7073,0.7127,0.7127,1.4504,5.6844,0.9419,0.8838,0.8749,0.8749,romanian_dracor,kn,894,28,w10
0,0.8184,0.8135,0.816,5.4395,91.3998,2.5405,0.6794,0.6766,0.6745,romanian_dracor,kn,894,414,w20
1200,0.8057,0.8069,0.8069,3.213,48.2813,1.5382,0.7317,0.7227,0.7229,romanian_dracor,kn,894,101,w20
600,0.7824,0.7893,0.7893,2.2914,21.0187,1.1044,0.7797,0.7697,0.7697,romanian_dracor,kn,894,57,w20
300,0.7365,0.744,0.744,1.7622,10.3068,0.9632,0.8455,0.8342,0.8342,romanian_dracor,kn,894,37,w20
150,0.7225,0.7278,0.7278,1.4327,5.6518,0.9338,0.8651,0.8594,0.8594,romanian_dracor,kn,894,27,w20
0,0.82,0.8152,0.8177,5.3354,89.661,2.4929,0.6774,0.6756,0.6742,romanian_dracor,kn,894,406,w30
